R_value,s_value,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_ci95,p_QL_vs_ROP
100,100,25,3,30,"(s,S)",67.00463063055285,2.8123421440707435,1.0063837113969267,46801.066666666666,816.0541537860579,
100,100,25,3,60,ROP,55.95627428171577,2.486280551786614,0.8897040690999476,55860.36666666667,747.3286339778218,3.000982378980083e-11
100,100,25,3,60,"(s,S)",61.092826042397135,2.986807830576352,1.0688154555099612,53936.75,813.1924550270211,
100,100,25,3,90,ROP,49.86346398292327,2.320192307170071,0.8302701540661755,63311.18333333333,710.9821245770041,3.000982378980083e-11
100,100,25,3,90,"(s,S)",55.07455891780667,2.9265557834856937,1.0472545373627151,61249.2,840.7819951699317,
100,100,25,7,10,ROP,56.770994824171765,2.474672221556201,0.8855500814761322,50287.26666666667,721.4839507046241,3.019859359162157e-11
100,100,25,7,10,"(s,S)",62.846573537743765,2.751012686246252,0.9844372467701034,47642.55,764.8513012631932,
100,100,25,7,30,ROP,54.11806099605201,2.287398662890349,0.8185350991725033,54101.13333333333,686.5737792448859,3.019859359162157e-11
100,100,25,7,30,"(s,S)",59.81010084841197,2.790402253271586,0.9985326223049932,51699.01666666667,811.9398159614004,
100,100,25,7,60,ROP,48.92227787597384,2.4318677382516745,0.8702326938448804,60949.95,722.4614135841603,3.019859359162157e-11
100,100,25,7,60,"(s,S)",54.72750149443788,2.226050786067628,0.7965820433918129,58233.91666666666,681.4276479781563,
100,100,25,7,90,ROP,44.15268155596382,2.105055777140441,0.7532845355116395,67544.98333333334,695.9224876057584,3.019859359162157e-11
100,100,25,7,90,"(s,S)",49.571110493818345,2.381380286939915,0.8521659914213428,64812.083333333336,705.5226832187385,
100,100,25,14,10,ROP,46.67060919145163,1.8134946797586844,0.6489507367593667,57457.11666666667,597.2132626343586,3.019859359162157e-11
100,100,25,14,10,"(s,S)",53.923227832329296,2.0442492631018427,0.7315252039152724,54128.5,623.8080680657376,
100,100,25,14,30,ROP,44.51089568201012,1.929196762437248,0.6903541953065062,61024.566666666666,585.6692129185845,3.019859359162157e-11
100,100,25,14,30,"(s,S)",51.08773309772497,1.5988225278717183,0.5721312937890113,57865.083333333336,491.5037253109678,
100,100,25,14,60,ROP,40.43470835754052,1.9104512413587185,0.6836461967385321,67012.75,601.2424283158387,3.019859359162157e-11
100,100,25,14,60,"(s,S)",46.00122860268462,1.8902423644917417,0.676414543026899,64454.16666666666,609.7633138897614,
100,100,25,14,90,ROP,36.54447000990892,1.7846983390154807,0.638646098565577,72919.86666666667,585.6782417345876,3.019859359162157e-11
100,100,25,14,90,"(s,S)",42.194813295282025,1.7304648202377213,0.6192388831153706,70233.25,584.6894505237743,
