ratio,c_l_over_c_h,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_sd,koszt_ci95,utracono_mean,bullwhip_mean,p_vs_ROP_fr,p_vs_ROP_k
BASE,20,20,14,90,QL,82.76209187938984,6.5646866517232745,3.322189817825398,65560.73333333334,7455.402427259105,3772.9541934997183,1251.6,19.814453570946156,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,90,SARSA,86.57859755947156,5.363911305360025,2.7145136497425604,67671.8,11055.584688938245,5594.897796691554,984.9333333333332,20.20479314502741,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,90,DQN,83.97196952635296,0.7904719698744174,0.4000340105957388,128568.0,739.8425025445811,374.4119649797533,1167.9333333333334,13.327406903643803,3.391821390825095e-06,3.391821390825095e-06
BASE,20,25,3,10,ROP,67.92344305512015,2.741547591612286,1.3874145069128596,41806.36666666667,2099.4632516998468,1062.4749980815754,2922.266666666667,9.3168379435393,,
BASE,20,25,3,10,"(s,S)",73.26006675122734,1.9351091720882765,0.9793003579545724,40184.066666666666,1393.462297232876,705.1892193781122,2441.733333333333,13.704254347416349,1.0992164801504738e-05,0.0380882842062921
BASE,20,25,3,10,QL,99.1618665551871,0.9947238774348944,0.5033997374870145,79839.9,14622.560611212091,7400.036673548043,76.33333333333333,17.97922763944823,3.3077867420930117e-06,3.391821390825095e-06
BASE,20,25,3,10,SARSA,99.49970547131085,0.7451830998169733,0.3771146801009372,102474.5,11490.055568372403,5814.770398138406,45.333333333333336,14.4757759024001,2.737821349395807e-06,3.391821390825095e-06
BASE,20,25,3,10,DQN,84.03071480406805,2.766872327517911,1.4002305915530455,47081.333333333336,2628.106778290265,1330.0055344914088,1452.9333333333334,13.950419475849111,3.391821390825095e-06,4.806323050630932e-05
BASE,20,25,3,30,ROP,67.21862994460547,2.6867823539860485,1.359699472751265,42242.86666666667,2127.4714155093893,1076.6490846085574,2984.0666666666666,9.272899256354986,,
BASE,20,25,3,30,"(s,S)",73.24857354138443,2.4587511836659446,1.2442997785426475,40278.6,1781.1163453616066,901.3692352504604,2444.133333333333,13.630398480671088,2.3290004782067234e-05,0.0089720248128149
BASE,20,25,3,30,QL,98.1509300726451,2.0455345761339285,1.035183322734532,77960.56666666667,10613.286093831815,5371.063824552865,167.46666666666667,18.347401129581147,3.2254793450267944e-06,3.391821390825095e-06
BASE,20,25,3,30,SARSA,97.61080419251424,2.3087666771445523,1.168397145738973,95211.9,11854.016417292012,5998.960000859259,217.4,17.17892881662554,3.3579984952572477e-06,3.391821390825095e-06
BASE,20,25,3,30,DQN,97.15633854272733,1.6237858941974217,0.8217490415349958,97936.66666666669,1564.1223425234205,791.555118445821,259.6666666666667,12.086543262487464,3.391821390825095e-06,3.391821390825095e-06
BASE,20,25,3,60,ROP,66.88181965460616,2.2657114179149564,1.1466081782824915,42578.333333333336,1718.7715574405654,869.8184194058998,3015.6,9.240996807885647,,
BASE,20,25,3,60,"(s,S)",73.1779242696863,2.344699401010631,1.186581612978286,40267.0,1716.8330062730538,868.8373771579274,2451.4666666666667,13.577759145373651,1.0992164801504738e-05,0.0018654646290708
BASE,20,25,3,60,QL,94.06981655103183,4.623260199382953,2.339692474966117,79488.73333333334,13549.064850264269,6856.772862843018,540.6,18.2792271149362,3.391821390825095e-06,3.391821390825095e-06
BASE,20,25,3,60,SARSA,94.55095056577142,3.8513787516252496,1.949066566624276,98560.16666666669,9999.4743998777,5060.4322486830215,498.4,15.452874805544608,3.383339412654217e-06,3.391821390825095e-06
BASE,20,25,3,60,DQN,89.71652125845206,0.8283917938829437,0.419224089254221,98908.53333333334,1143.7789569584468,578.8320153335604,940.6666666666666,16.369461088639685,3.391821390825095e-06,3.391821390825095e-06
BASE,20,25,3,90,ROP,67.94607333654355,2.481023435064308,1.2555710928857728,41785.2,1657.281032724556,838.6999203910776,2917.0666666666666,9.307507678050229,,
BASE,20,25,3,90,"(s,S)",73.23709661679118,2.874561365939414,1.4547287642634534,40193.93333333333,1973.9626106122776,998.9629107464956,2445.333333333333,13.677856516206688,8.13402807598356e-05,0.0310166114380167
BASE,20,25,3,90,QL,94.34473623443232,6.227961521444313,3.1517833904409254,84967.56666666667,12448.326812218964,6299.722557764518,512.3333333333334,17.4706642067332,3.3077867420930117e-06,3.391821390825095e-06
